;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Berry J.W.,""7402634538";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888430145&doi=10.1016%2fj.ijintrel.2013.09.005&partnerID=40&md5=ac907faf57cdb6aa664b86a4b4a37ce9"",""Acculturation"; Contact; Cultural maintenance; Ethnocultural groups; Immigrants; Intercultural relations; Public attitudes; Public policy;" Social cohesion"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Naidenova I., Parshakov P.,""55881002000";55881045400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885436975&doi=10.1108%2fJIC-01-2013-0011&partnerID=40&md5=16d8f89956df217815d3de937ec02f0e"",""Financial performance"; Intellectual capital; Interaction effect;" Vector autoregression"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Popov S.V., Bernhardt D.,""54416259000";7006377194;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877621105&doi=10.1111%2fj.1465-7295.2012.00491.x&partnerID=40&md5=c6d2dbdac75d7639224dbaadc1f090fa"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Siegel J.I., Licth A.N., Schwartz S.H.,""7403199031";55810384300;7403606009;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880981052&doi=10.1287%2forsc.1120.0776&partnerID=40&md5=592701626c8c56e17b52fe9a87b08f89"",""Cultural distance"; Culture; Egalitarianism; Entrepreneurship; Foreign direct investment (FDI); Global strategy; Multinational firm; Neoinstitutionalism; Pollution haven hypothesis;" Regulatory arbitrage"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Glaum M., Schmidt P., Street D.L., Vogel S.,""24722819700";55438467100;7005693909;55695184000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876493866&doi=10.1080%2f00014788.2012.711131&partnerID=40&md5=3c254ebee814acaf062829784036b3e5"",""business combinations"; compliance; cross-national analysis; goodwill; IFRS;" impairment testing"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Kirdina S., Vernikov A.,""6504010565";55203483300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878482702&doi=10.2753%2fJEI0021-3624470221&partnerID=40&md5=6b3a886051a722f832b960b4b349f40c"",""banks"; institutional matrix; institutions; Russia;" state"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Bautin G.A., Kalyagin V.A., Koldanov A.P., Koldanov P.A., Pardalos P.M.,""55630568100";13002922100;6603418986;55630761900;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878924488&doi=10.1007%2fs10287-013-0169-3&partnerID=40&md5=6982773305cc6eeac9f2c68ab228a80a"",""Cliques"; Independent sets; Market graph; Measure of dependence of random variables; Pearson correlation; Sign correlation;" Stock returns"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Abankina T.,""55497098000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875578691&doi=10.1108%2f17506181311301318&partnerID=40&md5=d428998d541803f3645ab1e6e473b638"",""Creative economy"; Cultural heritage centres; Germany; Heritage; Regional development; Russia; Tourism;" United Kingdom"",""comparative study"; complexity; cultural heritage; market conditions; national politics; numerical model; regional development; social indicator; tourism; tourism development; Germany; Russian Federation;" United Kingdom""";;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gurkov I.,""6603320551";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874538876&partnerID=40&md5=9d37f3048152ac2372edf99339681087"",""Industrial innovations"; Managerial attitudes; Post-recession development; Russian economy;" Surveys"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Galitsky B.,""6603420071";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875278403&doi=10.1016%2fj.knosys.2012.11.001&partnerID=40&md5=ae1eb07625384814ece6d32af8cc4bd1"",""Belief"; Desire; Intention and other mental attitudes; Interaction between human agents; Reasoning about mental attitudes;" Simulation"",""Belief"; Desire; Human agent; Mental attitude; Simulation; Decision support systems; Multi agent systems;" Logic programming""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Cagnin C., Havas A., Saritas O.,""24079474000";6602906367;6506092892;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873990966&doi=10.1016%2fj.techfore.2012.10.001&partnerID=40&md5=d197945283c081778e322ab30aa41e7c"",""FTA practices"; Fundamental change and transformations;" Grand challenges"",""Decision makers"; FTA practices; Fundamental changes; Grand Challenge; Joint response; Methodological aspects; Operational issues; Qualitative approach; Seville; Technology analysis; Technological forecasting; Innovation; conceptual framework; decision making; methodology; qualitative analysis; quantitative analysis; stakeholder;" technological change""";;;;;;;;;;;;;;;;;;;;;;;
1;"Tretyak O., Radaev V.,""35076800100";57198420405;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874187845&doi=10.1108%2f08858621311302822&partnerID=40&md5=9234f976ba2608cc02cb4c3caef004e1"",""Channel relationships"; Market power; Negotiated exchange; Relational conflicts; Retailer-supplier relationship; Retailing;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Shashnov S., Sokolova A.,""55603433300";56691650900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874160700&doi=10.1108%2f14636681311310132&partnerID=40&md5=0dd99ab65ec0300f15ebc1f6c7986968"",""Foresight"; Innovation; Long term planning; Natural resources; Priority-setting; Project planning; Russia; Sciences;" Technology led strategy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Tsybina E., Rebiazina V.,""55602731100";55602202300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874170228&doi=10.1108%2f08858621311302886&partnerID=40&md5=de23cd7b0070ab381f9827849bdc1da8"",""Customer interconnectedness"; Customer portfolio management; Customers; Relationship marketing;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Tretyak O.A., Sloev I.,""35076800100";55602987200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874162513&doi=10.1108%2f08858621311302877&partnerID=40&md5=35ef402d889721e63a1611b644b82e41"",""Customer flow"; Customer retention; Evaluation indicators; Long-term effects of marketing; Marketing;" Value chain"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Bek M.A., Bek N.N., Sheresheva M.Y., Johnston W.J.,""56480360100";55602764400;44662077400;7202392961;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874182288&doi=10.1108%2f08858621311302895&partnerID=40&md5=8738fe9353bedc2f2865baf69da3f347"",""Competitive strategy"; Innovation; Modeling; Networks; Organizational innovation; Russia;" Small to medium-sized enterprises"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Romanova T., Pavlova E.,""24779959300";56378344600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920387325&doi=10.4324%2f9780203730669&partnerID=40&md5=7f3572103060d722fe7ae505d1137475"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Demakova E.,""56469608800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920413162&doi=10.4324%2f9780203730669&partnerID=40&md5=ee6fd10ceac4b8918a143a91b34422e2"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Tsukanova O.A., Maltseva S.V.,""56022228800";56022395900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898666081&doi=10.1109%2fCBI.2013.65&partnerID=40&md5=032f05e7b8acff703659a7933c8845e6"",""Aggregate information resource"; Multy-layered texture;" Network community evolution"",""Aggregates"; Information science; Mathematical models; Conceptual approaches; Evolutionary process; Information resource; Network communities; Network state;" Network layers""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Tsukanova O.A., Maltseva S.V.,""56022228800";56022395900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893340699&doi=10.1109%2fICEBE.2013.73&partnerID=40&md5=5c674a3c139d176642213c4e71cd62f1"",""Graph models"; Network community;" Spread of influence"",""Electronic commerce"; Agent structure; Dynamic behaviors; Graph model; In networks; Information resource; Information structures; Network communities; Spread of influence;" Graph theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Janssen M.C.W., Parakhonyak A.,""7202771385";55504254500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870188473&doi=10.1016%2fj.ijindorg.2012.10.001&partnerID=40&md5=b1f6266766499de5aba6c9b96625ec19"",""Price matching guarantees"; Sequential search;" Welfare analysis"",""Free-riding"; Market outcomes; Price matching guarantees; Reservation price; Sequential search; Welfare analysis; Industry; Profitability;" Costs""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Dorofeev A.,""56114596900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898652883&doi=10.1109%2fCBI.2013.69&partnerID=40&md5=fc7a2dfb93efe7d3ab6504dee3506157"",""Fleet Management"; Intelligent Transportation System; Internet of Things;" RFID"",""Information science"; Intelligent systems; Internet; Logistics; Radio frequency identification (RFID); Corporate information; Fleet management; Intelligent transportation systems; Internet of Things (IOT); Internet-based applications; Inventory transactions; Logistical operations; Road infrastructures;" Fleet operations""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Komarov M.M., Kabanov D.A.,""6603888073";56119003300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898776444&doi=10.1109%2fSIIT.2013.6774576&partnerID=40&md5=3d47971c0acdca43bff53155baa24236"",,""Economic analysis"; Information technology; World economy;" Standardization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Blinova M.,""57196022695";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031003384&doi=10.1007%2f978-3-642-28897-5_23&partnerID=40&md5=40e91145ab6c39dba6627ea3da6c110f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Shcherbak A.,""56204912700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902441406&doi=10.17323%2f1995-459X.2013.4.6.15&partnerID=40&md5=46840302cba435f93ec46a65f42606f7"",""Creative class"; Cultural change; Innovation; Institutions; Investment; Modernization;" Tolerance"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Komarov M.M., Nemova M.D.,""6603888073";56023152700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893285737&doi=10.1109%2fICEBE.2013.66&partnerID=40&md5=5a4d2d5d0d46ed984d6f2a00c68358c6"",""Cloud computing"; Internet of services; Internet of things; Social web of things;" Web 3.0"",""Cloud computing"; Electronic commerce; Information services; Internet of things; Social sciences computing; Concept definitions; Customer interaction; Internet of Services; Internet of the futures; Internet services; Mobile applications; Web 3.0; Web-based service;" Web services""";;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gordin V., Trabskaya J.,""55903521700";55904574600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886466864&doi=10.1057%2fpb.2013.23&partnerID=40&md5=849b4250b920ae470ff8ee5988593572"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Babkin E., Karpov N., Kozyrev O.,""6701533991";56337992700;6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906547297&doi=10.1007%2f978-3-642-40823-6&partnerID=40&md5=7d869d55b2df145fb57ee7704ea0d21b"",""Ontologies"; Service-oriented design;" Teams formation"",""Information science"; Ontology; Semantics; Software prototyping; Information Modeling; Ontological engineering; Research teams; Semantic platforms; Service-oriented design; Team formation; Teams formation; Theoretical approach;" Semantic Web""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Abankina I., Aleskerov F., Belousova V., Gokhberg L., Zinkovsky K., Kiselgof S., Shvydun S.,""55862160400";7003947309;55861727800;6508192345;55862027900;55809402400;55862150500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884509524&doi=10.17323%2f1995-459X.2013.3.48.63&partnerID=40&md5=7f5297a13fc6dd8f18fcf980f69c3aea"",""Hierarchical clustering"; Higher education institutions (HEIs); Research and education activities of HEIs;" Typology"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Sivak E., Yudkevich M.,""55861772000";25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884514202&doi=10.17323%2f1995-459X.2013.3.38.47&partnerID=40&md5=0bc399e2c02b7e0bdfcb6b4cc299429f"",""Academic contracts"; Academic profession; Higher education; Research and teaching nexus; Research universities;" University governance"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Meissner D., Gokhberg L., Sokolov A.,""55337583500";6508192345;55145232200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956480356&doi=10.1007%2f978-3-642-31827-6&partnerID=40&md5=77231d83025f44f799e04bc1cea14b21"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Babkin E., Sergeev A.,""6701533991";56379652600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907808413&partnerID=40&md5=dcf2198e4d125360591114744e9fc203"",""Decision support"; DEMO methodology; Enterprise restructuring;" Transaction cost theory"",""Decision supports"; DEMO methodology; Enterprise restructuring; Transaction-cost theory; Cost effective; Enterprise development; Model-based OPC; Transaction cost; Cost effectiveness; Costs; Decision theory;" Decision support systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Inglehart R., Karabchuk T., Moiseev S., Nikitina M.,""6603572720";56206039600;56205918900;56206043300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902484235&doi=10.17323%2f1995-459X.2013.4.44.59&partnerID=40&md5=60995f78521ddc8c61f0409ff67b01bd"",""International research centers"; Job satisfaction; Motivation; Research efficiency; Researchers; Resources;" Results"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Guseva N.,""55842679300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883342637&doi=10.18848%2f2327-8013%2fCGP%2fv12i02%2f59255&partnerID=40&md5=749e119f6d84472ae9d2da0b7f8a2533"",""Corporate values"; Culture; Management approach; Management by values; Organizational changes;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Poletaeva T., Abdulrab H., Babkin E.,""56337698400";6602972854;6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906536219&doi=10.1007%2f978-3-642-40823-6&partnerID=40&md5=727892c7aad2e79ae9686097939971f6"",""Business process model"; Meta-model; Multi-agent; Object-paradigm;" Organizational diagnosis"",""Information science"; Ontology; Supply chains; Business process model; Meta model; Multi-agent; Object-paradigm; Organizational diagnosis;" Information systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Poletaeva T., Abdulrab H., Babkin E.,""56337698400";6602972854;6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025125471&doi=10.1007%2f978-3-642-41638-5_8&partnerID=40&md5=22fdec0543479cf819bfbe4cd0c7a393"",""Business process model"; Metadata model; Multi-agent; Ontology;" Traceability"",""Abstracting"; Information analysis; Multi agent systems; Ontology; Supply chains; Agent-based approach; Business objects; Business process model; Data representations; Enterprise ontology; Metadata model; Multi agent; Traceability;" Application programs""";;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Bogolyubov P., Komarov M.M.,""55524179400";6603888073;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898606163&doi=10.1109%2fCBI.2013.67&partnerID=40&md5=c76a7a21e57d252aed66dedb3b89f082"",""Literature review"; Meta-analysis; Social computing;" Systematic review"",""Literature reviews"; Meta-analysis; Social computing; Systematic Review;" Information science""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Alexandrov T., Chernyavsky I., Becker M., Von Eggeling F., Nikolenko S.,""26040516400";55531486200;56711579400;6701637625;13608710100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889040813&doi=10.1021%2fac401420z&partnerID=40&md5=a07e054bd4485220474e55fdf7def7d3"",,""Bioanalytical techniques"; Imaging mass spectrometry; Matrix-assisted laser desorption ionization; Priori information; Spatial localization; Spatial similarity; Spectral information; Unsupervised analysis; Functional polymers; Polymer films; Tissue; Unsupervised learning; Secondary ion mass spectrometry; animal; article; brain; cluster analysis; factual database; histology; human; larynx tumor; mass spectrometry; methodology; pathology; rat; statistics; Animals; Brain; Cluster Analysis; Databases, Factual; Humans; Laryngeal Neoplasms; Mass Spectrometry; Rats; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization;" Statistics as Topic""";;;;;;
3;"Gordeeva T.O., Osin E.N., Kuz'Menko N.E., Leont'Ev D.A., Ryzhova O.N.,""6602172513";35737831400;7003835506;55796318500;16305656400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880255578&doi=10.1134%2fS1070363213060479&partnerID=40&md5=12d6ca6d033d7dc4c0f0b48ef3c21d46"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Tyutnev A., Saenko V., Pozhidaev E.,""7005402871";7103137190;7006116169;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875733443&doi=10.1016%2fj.chemphys.2013.01.007&partnerID=40&md5=bc5dd0b1b3e37f4fdc3d3bd46d8ace21"",""Electron-gun technique"; Langevin-type recombination; Multiple trapping model;" Uniform carrier generation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Novikov S.V., Tyutnev A.P.,""57202492592";7005402871;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875149797&doi=10.1063%2f1.4794791&partnerID=40&md5=b080d69987747729b0010931ad2f5219"",,""Adjustable parameters"; Experimental datum; Experimental values; Monte Carlo simulations; Organic photoconductors; Simulated transients; Transport parameters; Transport simulation; Carrier mobility; Electric fields; Glass; Monte Carlo methods; Polycarbonates; Transients; Transport properties;" Power quality""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mamontov A.V., Nazarov I.V., Nefedov V.N., Kravchenko N.P.,""24484402300";56994097300;27467565900;7006522919;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891072844&partnerID=40&md5=8d7199ea23731161d63beee82443f05d"",,""Coupling medium"; Drying process; Experimental research; Heat-insulating materials; Weight change; Basalt; Heat treatment;" Microwaves""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mamontov A.V., Nefedov V.N.,""24484402300";27467565900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891093281&partnerID=40&md5=f7df470dc61463d77bae1b7a8c85bbb6"",,""Electric field vectors"; Material's surface; Microwave methods; Temperature field distribution; Total temperatures; Volumetric material; Dielectric losses; Materials; Microwave devices; Temperature distribution;" Dispersions""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Petrosjanc K.O., Kharitonov I.A.,""6602577918";56711354200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890082928&doi=10.1109%2fDSD.2013.118&partnerID=40&md5=0ec41b7e8a0db6fc8efa2aa4f710da34"",""Diode parameters"; IBIS model; MOSFET parameters; Radiation effects;" Signal integrity"",""Digital system"; Diode parameters; Input impedance; Mosfet parameters; Particle fluence; Protection circuits; Signal Integrity; Signal integrity analysis; Computer software; Integrated circuits; Models; MOSFET devices; Polychlorinated biphenyls; Radiation effects; Systems analysis;" Computer simulation""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Toporkov V., Toporkova A., Tselishchev A., Yemelyanov D.,""55961546000";6507444021;24825612100;35175412600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890038853&doi=10.1007%2f978-3-642-39958-9-10&partnerID=40&md5=aaa1c51c0805858f1d9d06fa6f153018"",""batch"; Distributed computing; economic scheduling; job; resource management; slot;" task"",""batch"; Economic scheduling; job; Resource management; slot; task; Complex networks; Distributed computer systems; Optimization; Parallel architectures; Scheduling;" Clustering algorithms""";;;;;;;;;;;;;;;;;;;;;;;;;
